tokens,label
kirwan demand itali consist itali coach john kirwan ha challeng hi side to match the perform they produc in push ireland close when they meet wale on saturday despit lose in sunday six nation encount the italian confirm their continu improv our goal is to match everi side we face and against ireland we show we could do that said kirwan but the most import thing is that we build on that perform when we play wale on saturday itali half back had mix afternoon with recal scrum half alessandro troncon impress but fli half luciano orquera have an off day with the boot kirwan said wa veri happi with troncon he had an incred game he wa veri good in attack and defenc orquera kick wa off but he show great courag in defenc he also follow the game plan we have to give him confid becaus he ha the capabl to do well,3
tindal want second opinion england centr mike tindal is to seek second opinion befor have surgeri on foot injuri that could forc him to miss the entir six nation the bath player wa alreadi out of the open against wale on februari becaus of hand problem mike had specialist review on fractur in hi right mid foot said england doctor simon kemp befor final decis is made on surgeri medic team have decid he should see second specialist england coach andi robinson is alreadi without centr will greenwood and flanker richard hill while fli half jonni wilkinson is certain to miss at least the first two game robinson is expect to announc hi new look england line up on monday for the match at the millennium stadium and newcastl year old centr mathew tait is set to stand in for tindal alongsid club team mate jami noon meanwhil tindal is target return to action befor the end of the regular zurich premiership season on april he will also aim to be back to full fit befor the lion tour to new zealand thi summer,3
sella want michalak recal former franc centr philipp sella believ coach bernard laport must recal freder michalak to give hi side ani chanc of beat ireland sella admit he had been impress by current fli half yann delaigu in the rb six nation to date but he told bbc sport michalak is the answer both now and for the futur delaigu deserv hi chanc but the time ha come to bring back michalak he doe have weak but ha the all round game to upset ireland the year old michalak ha spent much of the tournament on the bench after delaigu impress for castr earli in the season with michalak overlook the french stutter to narrow win over scotland and then england befor iron play their best rugbi in the defeat to wale the wale game wa amaz to watch but never did think the french could lose that game at half time said sella their onli mistak were that they didn score enough point in the first half and were littl bit less focus in the second but onli littl bit sella howev insist the pressur had eas on the under fire laport despit the defeat at the stade de franc thi season is veri import for shape team for the world cup said sella which laport is do veri well the french get better everi game it difficult though when you chang team and you chang your tactic as everyth ha to gel but he ha the player and the talent to take them all the way to world cup victori as result it is import that peopl give him time it may not seem good now that we re not win the grand slam but no one will care in two year time if we re world champion the major of media critic centr on the way in which franc produc perform devoid of run rugbi in their open two game but while sella admit he like the more flow style employ against wale he said the win wa most import win is all that matter he ad ok the flair may not have been so good but the disciplin organis and defenc wa there which are all import ahead of franc play what sella believ is their hardest game of the six nation against ireland in dublin on saturday march the french go into the game as clear underdog but sella ad peopl forget that franc can still win the six nation and they ll be focus on that but ireland will be go for even more in front of their home crowd it go to be tough,3
prime minist question so who if anyon is play polit with the secur of the nation michael howard ha no doubt it is the prime minist who he claim is ram through parliament the controversi new anti terror measur without proper debat he didn say so but the tori believ the prime minist is play the fear card on thi one so he can look tough in the run up to the gener elect and they believ toni blair is use the issu to suggest the tori are soft on terror whi on earth will the prime minist not simpli take up the tori offer to extend the exist power temporarili to allow proper parliamentari debat of the law he demand the prime minist claim thi is the clearest indic that it is the tori who are play polit with the issu by attempt to score cheap polit point in parliament is not the opposit against to the propos law in principl in which case delay decis for further debat would be pointless what thi is realli about believ mr blair is the tori spot an opportun to embarrass mayb even defeat the govern and that is more import to them than nation secur liber democrat leader charl kennedi avoid suggest anyon wa play polit with the issu he prefer to state that as with other issu like id card the govern immedi instinct wa authoritarian as is hi habit nowaday the prime minist wa less rough with mr kennedi than he had been with mr howard he prefer more exasper tone suggest he believ the lib dem have onc again just miss the point apart from all that it wa election as usual the veri first question to the prime minist from derbi north bob laxton ask him in effect if he would carri on the excel polici of pour more resourc into school later birmingham sion simon even went so far as to suggest the tori were such shower that we should have the gener elect now the prime minist almost blush thi wa not the appropri place to announc elect day he stammer but can anyon be in ani doubt that that announc is just day away an announc come in the week begin april for an elect on may is where the big money is in the common and perhap that simpl fact alon mean everyon is seen to be play polit with just about everyth at the moment,2
us to rais tv indec fine us politician are propos tough new law aim at crack down on indec and bad languag on us tv fine of up to could be impos each time broadcast transmit nuditi or profan the propos unveil in the hous of repres also seek to revok broadcast licenc after three violat have been commit the exposur of janet jackson breast at last year superbowl land cb with fine entertain could also be liabl for fine under the propos legis from both us politcian and offici from the feder commun commiss fcc republican senat from kansa sam brownbeck is set to call for maximum million million fine for repeat violat the current maximum fine stand at of the station in the cb network were each penalis these lesser amount for the jackson incid republican politician fred upton who chair the committe respons for broadcast said current fine are more of cost of do busi rather than deterr last year janet jackson wardrob malfunct encourag the fcc to impos tougher rule but the us congress adjourn last year without agre on new level of fine new figur have to be decid befor new legisl can be put befor presid bush certain broadcast like fox claim the materi they carri doe not violat indec law and is protect under the right to free speech,1
new rule tackl sham wed new rule on marriag for foreign nation live in the uk are come into forc from tuesday most non eu citizen will need home offic approv to marri the home offic say the new rule are aim at reduc the number of sham marriag of which there are estim to be up to year but immigr group the joint council for the welfar of immigr jcwi say the rule breach human right law and it may mount legal challeng when the chang were unveil last year immigr minist de brown said our aim is to avoid unnecessari disrupt of genuin marriag while provid firm control to prevent abus under the previou regul anybodi wish to get marri in the uk onli had to produc evid they had been resid in the countri for week and give day notic of the wed at the local regist offic but from tuesday all non eu nation apart from citizen of switzerland liechtenstein iceland or norway intend to wed in the uk must either obtain visa allow them to get marri befor they enter the countri or appli for home offic certif of marriag approv to get certif cost applic will have to send proof that they have legal right to be in the uk those without settl statu such as asylum seeker await decis on their applic will have no right to marri in the uk onc they have the necessari document those subject to immigr control wish to get marri in england or wale must regist their intent to marri at one of special design regist offic they can howev marri at the regist offic or church of their choic rhian beynon of the jcwi said the new rule were not proportion and discriminatori these rule mean in some case the home secretari is go to be marriag registrar of last resort we re current take legal opinion on thi we ll be look for peopl whose right to marri is breach and we ll be look at take case on thi to the human right court ms beynon said the new rule have also been call into question by the parliamentari joint committe on human right in report publish last juli the cross parti committe state there wa signific risk the new procedur were incompat with the right to marri becaus they introduc restrict which were the committe believ the new law might be incompat with the human right act on the ground of religion belief and nation the report ad over the last year immigr servic oper against marriag of conveni have been step up result in grow number of convict in januari peopl who took part in sham marriag network base in leicest were jail for total of year and last novemb samuel amoah belgian nation who set up two sham wed for coupl who want to remain in the uk wa jail for three year sever other case are current go through the court the role of registrar who under the asylum and immigr act were oblig to report suspect sham marriag to the home offic ha been key in mani prosecut registrar spokesman mark rimmer said they welcom the new marriag regul and believ they would be an signific deterr they will effect remov most of the blatant case certainli those who are illeg in thi countri of which we had quit few will no longer be get marri mr rimmer said mr rimmer the servic director for registr of marriag at brent council in north west london said he did not consid the new law to be an infring of civil liberti it may be seen to be far more draconian than it ha been but certainli it still not as difficult to marri in the uk than it is to marri for exampl in holland germani or franc think it proportion respons by govern to what wa veri larg problem mr rimmer said,2
euronext join bid battl for lse pan european stock market euronext ha approach the london stock exchang lse about possibl takeov bid the approach is at an earli stage and therefor doe not requir respons at thi point lse said talk with the european stock market and with rival bidder deutsch boers will continu the lse said last week the group reject bn bn takeov offer from deutsch boers claim that it undervalu the busi lse saw it share surg to new high of in earli trade follow the announc on monday the offer follow widespread media specul that euronext would make an offer for lse expert now wide expect bid war for europ biggest stock market which list stock with total capitalis of trillion to break out comment say that deal with euronext which own the liff deriv exchang in london and combin the pari amsterdam and lisbon stock exchang could potenti offer the lse more cost save than deal with deutsch boers weekend report in the telegraph had quot an unnam execut at euronext as say the group would make cash bid to trump deutsch boers offer becaus we alreadi own liff in london the cost save avail to us from merger are far greater than for deutsch boers the newspap quot the execut as say euronext chief execut jean francoi theodor is report to have alreadi held privat talk with lse chief execut clara furs further report had suggest that euronext could make an offer in excess of the lse share close price on friday howev euronext said it could not guarante at thi stage that firm offer would be made for lse there ha been extens specul about possibl takeov of the compani sinc an attempt merger with deutsch boers fail in,0
satellit map aid darfur relief aid worker tri to hous feed and cloth million of homeless refuge in the sudanes region of darfur are get help hand from advanc map technolog european consortium of compani and univers group known as respond is work to provid accur and up to date map the aim is to overcom some of the huge logist challeng in get suppli to where they are need respond is use satellit imageri to produc accur map that can be use in the field rapidli respond ha produc veri detail map for exampl for the road network for the river and for the villag to more larg scale map use for veri gener plan purpos said einar bjorgo from unosat the un satellit map organis that is part of the respond consortium the group use satellit from nasa the european space agenc and the disast monitor constel the satellit data is transmit to ground station from there the inform make it way to respond organis that specialis in interpret such data you have to convert the data into imag then the interpret ha to convert all thi into crisi damag or situat map said stefan voigt who work in the remot sens depart of one of those organis the german aerospac centr thi kind of detail analysi usual take coupl of month but respond get it done in about hour our user are usual not so much familiar with read satellit imageri read satellit map so it our task to transfer the data into inform that non technic peopl can read and understand easili and veri veri effici said mr voigt respond suppli map to aid group via the web and on compact disc but the best map is one you can hold in your hand especi in remot area where internet connect and laptop are scarc map is work document explain herbert hansen of respond belgian partner keyob you need to use it you need to write on it correct give feedback and so on so you need paper to write on we print map we lamin the map we encapsul the map if need so you can take shower with the map it complet protect humanitarian group in darfur have been make good use of respond map they have come in especi handi dure sudan raini season when normal dri riverb or wadi becam flood these wadi had veri small amount of flood gener in term of depth but greatli imped the transport capabl and capac of the humanitarian group on the ground say stephen candillon of respond imag partner sertit respond rapid imag ha allow aid group to find way around the wadi allow then to mark on their map which road were wash out at which time aid group say that combin of satellit technolog and on the ground observ help keep relief flow to those who need it clark boyd is technolog correspond for the world bbc world servic and wgbh boston co product,4
china block googl news site china ha been accus of block access to googl news by the media watchdog report without border the pari base pressur group said the english languag news site had been unavail for the past day it said the aim wa to forc peopl to use chines edit of the site which accord to the watchdog doe not includ critic report googl told the bbc news websit it wa awar of the problem and wa investig the caus china is believ to extend greater censorship over the net than ani other countri in the world net polic forc monitor websit and mail and control on gateway connect the countri to the global internet are design to prevent access to critic inform popular chines portal such as sina com and sohu com maintain close eye on content and delet polit sensit comment and all net cafe in the countri have to use softwar to control access to websit consid harm or subvers china is censor googl news to forc internet user to use the chines version of the site which ha been purg of the most critic news report said the group in statement by agre to launch news servic that exclud public dislik by the govern googl ha let itself be use by beij it said for it part the search giant said it wa look into the issu it appear that mani user in china are have difficulti access googl news site in china and we are work to understand and resolv the issu said googl spokesperson googl news gather inform from some news sourc headlin are select for display entir by comput algorithm with no human editori intervent it offer edit of the servic includ one tailor for china and one for hong kong googl launch version in simplifi chines in septemb the site doe not filter news result to remov polit sensit inform but googl doe not link to news sourc which are inaccess from within china as thi would result in broken link,4
spider man creator win profit spider man creator stan lee is to get multi million dollar windfal after win court battl with comic book compani marvel judg ha upheld lee demand for of marvel profit from the huge success spider man film spider man and it sequel made bn at box offic worldwid of the cut now due to lee who creat spider man in hi lawyer said it could be ten of million of dollar that no exagger us district court judg robert sweet rule lee should get tenth of profit gener sinc novemb by marvel tv and movi product involv the compani charact lee took legal action in say marvel shut him out of jackpot profit from the first blockbust film he said the compani where he work for more than year had gone back on agreement to give him the as well as spider man lee co creat the incred hulk men daredevil and fantast four charact he said am gratifi by the judg decis although sinc am deepli fond of marvel and the peopl there sincer regret that the situat had to come to thi the rule also mean he is entitl to slice of profit from dvd sale and certain merchandis marvel said it would appeal and did not expect the decis to impact on financi forecast for and beyond the new york court did not rule on lee claim to share of profit from some spider man and hulk movi merchandis which will be decid at futur trial marvel said,1
